               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,           0.0078316,           0.0078112,           0.0015417,              0.9557,             0.96329,              0.9641,              0.8321,            0.013036,           0.0095926,           0.0048239,            0.001486,            0.001486,            0.001486
                  88,           0.0079578,            0.007151,           0.0016589,             0.95624,             0.96328,              0.9669,             0.83707,            0.013056,           0.0095306,           0.0048008,            0.001387,            0.001387,            0.001387
                  89,           0.0076939,           0.0072212,            0.001701,             0.95633,              0.9587,              0.9669,             0.83588,            0.013234,           0.0096283,           0.0047857,            0.001288,            0.001288,            0.001288
                  90,           0.0076659,           0.0069905,           0.0016155,             0.95631,             0.96327,             0.96687,             0.83328,             0.01323,           0.0097798,           0.0047912,            0.001189,            0.001189,            0.001189
                  91,           0.0077811,           0.0073056,           0.0018153,             0.95176,             0.96327,             0.96667,             0.83822,             0.01301,            0.010017,           0.0049299,             0.00109,             0.00109,             0.00109
                  92,           0.0074673,           0.0070505,           0.0015148,             0.95681,              0.9587,             0.96573,             0.83571,            0.013167,           0.0096312,           0.0051218,            0.000991,            0.000991,            0.000991
                  93,            0.007592,           0.0072644,           0.0019995,             0.95701,             0.95872,             0.96649,             0.83406,            0.013343,           0.0095188,           0.0051672,            0.000892,            0.000892,            0.000892
                  94,           0.0074841,           0.0067332,           0.0018656,             0.96232,             0.95413,             0.96666,             0.83726,             0.01303,           0.0093974,           0.0052231,            0.000793,            0.000793,            0.000793
                  95,           0.0075585,           0.0071324,           0.0021002,             0.96105,             0.95872,             0.96652,             0.83425,             0.01315,           0.0096772,           0.0051915,            0.000694,            0.000694,            0.000694
                  96,           0.0076875,           0.0070018,            0.002131,             0.96114,             0.95871,             0.96696,             0.83669,            0.013088,           0.0096685,           0.0052219,            0.000595,            0.000595,            0.000595
                  97,           0.0075244,           0.0070984,            0.002052,             0.96124,             0.95872,              0.9674,             0.83645,            0.012981,           0.0095881,           0.0051758,            0.000496,            0.000496,            0.000496
                  98,           0.0073737,           0.0071255,           0.0018342,             0.96091,             0.95872,             0.96744,             0.83302,            0.013242,           0.0097871,           0.0052106,            0.000397,            0.000397,            0.000397
                  99,           0.0073024,            0.006504,           0.0020593,             0.96003,             0.95872,             0.96814,             0.83666,            0.013115,           0.0096786,           0.0051528,            0.000298,            0.000298,            0.000298
